"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
3,9,15,7,11,18,10,6,32,3,4,3,5,2,4,6,16,8,4,14,10,0,6,2,5,11,20,12,9,5,25,6,4,7,4,4,1,15,18,8,5,15,16,5,18,9,2,3,0,14,3,19,6,10,11,5,10,6,9,1,1,16,25,20,18,11,10,11,11,4,10,11,5,5,13,29,4,11,7,10,2,7,9,9,7,5,0,7,7,4,2,4,2,13,5,3,3,11,6,7,4,21,2,11,11,3,13,10,5,3,9,9,8,20,19,26,11,3,3,5,8,6,4,15,0,6,5,8,10,9,7,10,18,1,7,13,2,9,9,22,12,19,7,29,4,15,9,1,2,7,22,10,8,5,7,19,8,5,5,14,19,14,8,6,9,2,27,3,10,5,2,10,4,20,13,4,5,6,0,1,4,19,1,2,3,20,3,3,2,14,2,5,4,6,10,14,5,5,5,4,4,3,3,9,2,9,12,30,16,6,11,26,15,5,8,7,17,8,14,16,9,7,6,3,7,1,8,0,3,11,5,1,10,9,4,4,11,9,24,7,4,17,17,3,20,0,6,3,5,2,9,13,10,3,0,3,4,15,14,4,22,15,8,9,5,6,26,11,1,17,4,7,5,4,2,8,4,8,5,5,11,7,23,12,8,7,4,12,16,3,16,7,7,5,12,7,1,8,12,32,3,17,1,21,19,5,8,6,23,3,5,12,17,10,8,6,4,12,5,6,5,15,11,21,6,12,5,8,4,1,7,28,12,15,12,17,5,9,7,24,0,7,2,3,11,10,10,7,33,10,19,5,11,6,14,4,3,11,9,17,4,11,21,8,4,2,0,18,13,4,18,4,2,20,15,28,6,8,9,9,9,8,2,6,34,2,15,8,8,1,8,2,8,9,7,19,2,12,19,4,12,6,3,6,18,4,13,24,3,11,10,2,5,10,5,13,5,10,2,7,5,5,3,4,32,11,0,15,1,0,25,10,4,5,4,12,14,75,23,13,5,18,13,7,12,4,14,18,8,11,37,1,10,4,10,4,5,14,6,12,2,5,8,6,38,10,8,2,8,2,13,24,6,18,15,11,3,12,3,1,0,12,14,3,10,5,21,18,5,4,12,4,7,2,13,4,12,15,4,3
15,2,4,5,27,4,7,5,29,9,5,11,3,7,15,3,8,7,7,13,3,6,18,11,0,13,11,8,20,8,15,8,11,11,5,15,11,1,3,5,19,5,4,5,17,11,5,7,1,0,3,2,33,26,16,10,3,3,10,4,10,6,10,1,9,3,7,20,5,3,6,11,26,9,2,18,6,5,13,13,13,13,15,20,9,3,5,43,8,24,5,11,5,14,3,2,1,17,15,14,12,18,7,55,1,6,2,7,10,16,15,7,18,1,11,4,3,14,6,2,31,28,4,7,3,20,9,10,4,2,8,8,6,13,11,2,18,5,10,28,11,3,7,11,5,12,6,12,13,27,15,10,3,17,6,9,8,5,7,5,4,23,17,2,11,9,37,5,8,5,2,14,17,1,7,16,8,8,11,2,1,17,14,13,6,8,9,5,29,7,5,21,22,6,5,12,10,19,42,7,9,6,3,1,6,24,10,26,5,1,6,7,3,3,11,11,11,25,4,16,5,8,7,3,20,6,8,11,3,2,7,15,4,8,33,2,7,6,8,10,16,8,16,7,5,12,8,9,1,4,17,21,0,1,1,12,6,30,2,12,3,2,17,19,5,3,21,3,7,6,7,5,21,1,7,31,19,1,3,2,13,2,5,25,3,14,3,9,1,13,16,1,4,8,19,5,7,9,18,24,10,14,7,4,5,6,37,1,2,7,7,8,10,3,11,7,4,22,5,35,8,2,0,8,2,1,6,29,17,14,13,19,12,6,14,13,34,33,31,10,18,2,3,8,2,3,13,13,47,20,50,8,4,8,15,3,14,11,24,2,14,2,8,13,26,5,17,19,23,4,12,3,13,10,13,16,4,1,12,3,8,5,27,10,8,14,6,5,17,2,9,6,31,3,3,7,6,10,27,1,22,4,6,2,6,23,24,11,9,3,11,14,1,2,20,41,18,10,8,15,6,0,0,21,28,46,10,16,8,10,0,6,0,5,6,15,11,23,4,24,21,5,3,5,14,37,7,28,2,25,62,59,2,11,17,21,5,4,1,7,17,3,48,8,53,3,7,14,12,11,7,3,18,13,6,5,7,6,3,17,4,12,2,7,1,9,23,39,1,3,7,4,11,3,4,49,18,13,1,20
5,4,4,15,8,6,6,6,1,2,10,3,1,10,3,3,0,3,12,12,3,4,5,4,8,3,18,4,2,7,1,7,1,1,24,1,8,2,10,10,1,8,0,2,2,5,6,14,2,11,3,3,5,3,4,10,1,14,5,0,3,10,19,7,9,5,6,6,7,4,9,12,8,16,9,10,6,12,4,1,6,17,9,8,2,6,0,2,5,0,18,1,2,2,0,6,3,23,1,6,8,4,7,4,10,8,1,4,2,5,13,10,7,12,5,4,24,5,6,3,3,2,3,0,21,3,12,18,2,9,1,8,14,1,3,4,2,3,5,4,6,3,9,4,3,6,12,12,3,2,10,2,5,3,2,4,2,10,4,11,19,5,9,3,21,4,5,2,3,12,4,12,4,18,6,5,6,11,1,6,2,1,3,6,9,3,3,10,0,7,5,1,1,2,6,5,3,0,3,5,8,5,9,1,3,5,3,20,12,0,3,5,6,6,4,0,10,2,6,7,13,2,2,2,7,4,3,8,6,3,8,6,2,3,7,5,0,9,1,1,3,6,4,3,6,8,7,4,4,10,16,25,6,6,4,6,6,10,2,1,4,17,3,2,1,2,1,5,2,39,5,4,0,11,3,15,4,3,10,2,5,7,5,3,3,2,12,2,6,1,5,7,1,20,4,4,12,3,8,14,1,7,15,5,6,12,6,3,9,4,3,11,1,3,1,2,4,26,12,7,6,2,4,6,31,8,2,31,5,13,7,8,10,4,7,11,20,3,2,20,3,6,3,7,1,8,7,3,5,0,7,2,0,2,6,3,4,0,6,3,3,0,11,4,12,4,14,3,2,2,16,4,6,9,15,3,3,6,4,3,2,4,6,0,0,6,7,6,1,3,4,11,3,8,1,1,6,13,1,4,7,4,11,4,5,4,4,7,4,5,9,3,0,0,3,16,1,2,8,13,2,1,6,11,14,12,2,1,7,2,9,2,3,3,1,4,2,11,5,3,6,5,10,4,7,4,3,1,4,3,4,17,4,5,6,2,12,1,1,2,7,8,14,4,7,0,10,8,3,12,12,3,31,20,1,11,9,10,4,9,8,5,7,3,15,7,7,15,1,2,2,2,0,0,38,4,0,19,9,7
1,5,1,3,6,12,1,5,8,4,4,7,7,6,1,0,12,7,4,11,2,3,4,5,4,0,9,4,12,26,6,4,2,0,2,2,12,6,12,3,3,9,7,7,4,11,2,12,3,4,3,2,6,7,5,8,2,4,3,5,3,5,2,1,30,4,8,8,8,10,3,6,4,28,3,3,0,5,4,1,14,7,3,16,3,1,7,17,5,7,35,9,0,6,1,11,2,9,7,5,12,2,6,7,16,5,5,3,5,10,7,13,15,8,9,7,1,7,0,1,1,2,6,4,0,1,11,14,1,10,4,8,6,2,1,8,2,4,5,2,1,7,7,1,2,5,0,4,10,11,7,1,7,1,2,7,5,2,13,2,2,19,1,4,1,1,9,3,5,3,8,5,5,4,11,10,7,6,6,1,18,2,20,1,3,8,9,6,4,2,3,4,4,2,11,20,5,13,5,10,6,3,10,7,11,2,9,23,3,9,8,0,1,0,8,3,2,7,4,4,29,2,2,4,13,16,4,11,3,1,2,29,5,2,27,7,5,10,4,11,3,0,12,14,7,1,4,5,2,0,9,8,1,1,1,2,6,8,4,0,4,6,7,2,2,3,9,2,12,15,1,0,6,3,0,4,4,5,0,6,22,17,2,3,2,2,4,1,0,2,1,11,5,5,4,3,2,3,1,3,1,11,10,8,3,6,4,6,13,1,8,5,4,4,5,12,5,6,5,5,14,3,7,10,3,1,11,2,1,1,7,7,19,3,5,52,1,0,1,19,12,8,1,3,0,10,11,9,15,6,11,10,8,2,20,0,7,1,2,5,15,0,8,8,5,7,0,4,3,3,7,6,0,13,27,16,2,1,2,12,4,17,5,0,2,1,3,4,2,4,2,3,12,5,3,6,3,4,9,1,7,10,23,0,8,5,16,3,5,2,5,7,4,9,6,10,11,14,16,20,2,10,0,8,4,11,6,9,1,0,3,0,4,11,5,6,19,13,6,9,29,8,8,5,21,3,0,15,2,7,1,4,13,0,0,0,4,1,2,5,4,1,13,3,29,5,8,8,7,2,7,5,8,11,4,6,7,5,9,5,6,2,6,8,4,0,3,6,4,3,1,10,4,4,23,9,40,1,0,2
1,5,1,3,6,6,10,7,8,5,6,2,18,4,1,4,10,12,0,3,3,3,1,5,13,2,12,3,8,12,7,8,6,0,2,6,8,2,1,6,7,20,9,3,3,2,2,16,8,9,1,4,19,14,5,32,1,7,5,2,2,11,22,5,8,8,5,11,8,8,2,1,0,3,5,6,5,5,2,2,4,1,0,3,19,2,0,0,7,3,12,2,4,3,1,2,2,3,13,11,4,8,9,6,7,3,4,2,7,6,5,18,11,3,4,4,5,13,11,3,4,4,3,9,12,3,7,7,1,7,14,2,17,2,9,10,9,1,1,3,8,5,10,6,3,3,4,6,4,2,9,14,1,18,1,6,3,1,6,5,1,6,6,1,5,13,3,1,5,10,4,6,5,7,9,14,5,1,1,0,4,3,15,2,12,5,11,12,10,3,2,14,5,2,4,2,6,4,6,3,1,0,6,8,1,3,9,3,4,6,12,7,7,6,11,1,6,1,0,0,7,5,9,5,10,4,8,12,4,0,4,3,6,3,3,2,2,2,9,17,5,7,9,1,11,0,9,0,21,1,11,10,4,0,4,4,2,0,10,14,4,8,6,11,3,0,3,3,10,16,1,2,6,5,0,2,0,1,13,9,3,10,5,8,3,11,5,0,4,11,2,4,10,7,10,0,2,2,0,4,9,16,11,2,0,0,5,11,4,14,7,21,7,4,2,6,7,22,3,6,3,2,1,10,1,6,1,11,17,15,10,15,20,3,3,32,3,4,1,4,2,6,10,6,3,9,4,5,4,7,5,8,8,2,11,2,15,1,8,3,2,7,28,26,0,1,0,15,3,18,4,1,3,2,3,8,3,3,1,11,10,14,4,4,5,2,2,3,2,1,9,2,8,8,10,17,0,4,14,3,21,14,8,4,2,7,20,11,8,1,10,8,2,8,8,11,2,6,5,20,3,8,1,11,15,3,4,7,2,2,12,10,12,0,0,4,2,53,1,14,16,15,12,5,14,1,24,5,2,2,11,1,14,6,1,5,7,3,11,12,1,5,18,1,22,9,3,4,10,11,15,3,17,7,3,6,7,3,0,2,6,3,1,1,5,7,4,3,2,1,5,3,2,6,9,11,13,3,7,5
3,5,7,19,27,7,24,13,9,13,15,45,35,9,8,9,24,9,2,12,2,47,16,9,15,13,7,12,4,24,27,12,3,6,15,24,33,3,14,7,2,25,23,10,8,7,8,25,7,9,10,14,11,34,14,35,4,25,34,5,19,2,30,1,12,28,15,47,4,15,9,9,14,13,15,1,20,3,9,18,18,52,7,3,23,9,15,16,19,9,22,9,8,10,10,3,1,5,35,10,5,9,2,16,3,4,12,10,4,41,7,14,15,29,23,13,60,22,16,2,11,8,21,15,29,1,30,16,16,10,28,14,17,26,12,2,22,15,32,1,3,8,6,30,2,24,22,12,8,23,6,15,11,12,13,1,6,6,23,13,10,41,16,3,21,21,19,17,22,4,1,44,32,6,16,43,17,39,13,13,16,11,15,41,5,4,11,3,3,5,1,8,17,11,9,14,10,31,9,10,4,3,12,6,5,14,39,42,23,17,26,50,32,17,19,8,2,14,5,23,16,1,12,7,15,14,8,9,13,21,4,13,1,5,47,7,17,8,3,20,7,8,7,28,13,3,6,12,16,11,29,24,12,3,16,3,5,25,4,36,18,27,10,5,11,15,18,7,9,0,3,5,5,6,6,19,17,8,10,9,11,14,2,41,15,4,21,7,19,5,22,11,13,21,10,10,3,28,21,33,5,45,11,4,8,31,14,29,17,4,31,12,3,3,11,8,36,36,10,9,21,7,24,24,30,15,30,34,37,10,13,20,32,7,5,23,23,16,16,24,6,14,14,12,10,7,7,15,9,22,4,29,19,13,23,9,8,17,8,30,19,10,18,25,18,5,12,6,10,2,26,17,9,9,17,5,2,10,15,14,13,13,6,8,49,9,19,15,3,14,8,3,8,10,10,10,4,8,33,9,33,19,2,6,12,23,37,18,8,11,8,4,16,8,6,22,25,8,13,20,4,4,21,23,61,21,14,17,18,4,0,11,11,3,16,14,34,32,12,80,18,12,32,27,33,11,4,9,16,12,15,3,7,13,5,9,7,2,8,5,1,26,22,14,11,20,26,18,20,15,5,16,25,21,40,20,0,13,17,14,4,7,13,19,14,2,17,29,12,12,8,34,6,13,14,32,12,24,2,33
2,10,7,3,0,3,10,3,5,2,6,7,4,6,2,4,4,5,1,7,6,0,2,2,10,3,9,3,6,5,6,4,2,3,9,0,7,2,7,4,7,3,2,12,5,4,10,14,3,3,2,11,8,5,3,4,3,5,0,4,8,6,3,10,6,11,4,6,6,5,11,7,6,7,5,15,1,6,7,4,5,6,3,8,1,1,5,7,1,3,5,1,4,8,5,4,1,6,5,3,12,9,3,6,6,7,1,3,0,3,4,15,5,8,5,9,12,5,0,2,14,8,7,2,1,5,2,6,1,5,3,3,8,4,6,4,3,12,7,2,2,5,13,18,3,1,3,2,2,4,2,0,1,2,11,6,2,4,14,3,10,10,7,2,5,4,11,9,2,10,9,6,9,1,2,12,6,5,2,3,6,12,2,4,5,5,4,9,2,4,2,4,3,4,7,2,3,6,10,3,3,4,0,3,2,2,13,6,9,8,11,4,10,3,5,2,7,1,2,5,14,4,2,1,5,2,6,11,3,13,11,7,4,2,14,15,5,13,2,7,5,1,6,2,4,5,2,5,12,6,8,11,0,2,5,2,0,2,9,5,9,3,14,5,3,3,8,4,3,27,0,3,6,7,11,7,3,0,2,4,12,4,8,0,0,3,8,3,9,6,4,6,2,5,4,11,4,1,5,7,0,8,4,6,5,5,3,3,10,7,9,4,6,5,2,6,3,6,5,2,2,7,8,8,1,2,5,2,5,1,3,6,10,3,4,13,6,3,10,9,3,9,2,3,2,7,6,5,12,12,10,5,3,3,9,2,5,2,7,9,5,10,18,8,6,3,5,4,2,7,5,5,5,3,9,3,11,6,1,4,12,5,9,1,11,2,10,1,2,2,2,3,13,3,6,4,1,3,9,1,10,7,7,2,1,0,11,10,7,6,7,6,1,2,2,2,3,2,10,8,3,3,4,2,16,7,4,9,2,3,4,12,11,11,3,6,7,23,4,9,7,9,7,9,6,13,8,16,5,8,21,4,5,8,5,6,7,1,6,1,5,1,7,4,6,6,5,2,7,1,6,7,8,15,1,0,7,6,2,6,7,3,8,2,5,7,16,16,3,1,1,5,6,1,3,20,2,10,5,11
8,2,2,31,3,9,7,7,9,6,5,6,4,2,11,2,5,6,3,8,6,6,10,3,6,8,13,2,15,10,10,9,5,12,3,2,7,3,7,4,12,11,7,0,4,13,0,23,3,14,9,4,8,6,3,18,4,8,8,3,2,4,15,4,8,3,6,7,16,5,7,10,8,10,8,9,7,8,18,5,2,10,7,17,17,7,7,12,8,8,8,13,1,2,4,3,2,4,10,5,5,8,9,5,7,3,8,5,4,15,3,6,6,10,5,4,8,11,8,4,10,6,8,6,4,13,2,10,9,8,1,9,14,5,6,8,12,12,3,11,6,15,11,6,3,6,1,5,8,20,2,12,7,9,6,11,14,2,4,5,10,3,12,2,13,4,4,11,2,4,4,4,1,8,3,8,11,2,9,3,6,11,11,7,3,17,7,3,6,3,8,6,6,11,6,10,6,5,4,6,8,3,4,6,3,4,14,10,7,12,4,0,9,6,4,6,12,5,6,12,8,1,9,2,17,5,7,6,6,3,6,12,5,2,0,4,1,7,4,4,3,12,11,8,3,3,4,5,12,4,9,7,3,3,4,14,3,6,3,9,5,9,17,15,3,4,7,5,3,9,0,8,6,8,7,10,7,2,6,19,4,0,5,5,4,7,5,6,8,1,5,13,12,3,6,6,8,4,5,5,1,3,8,3,5,5,12,6,3,3,2,6,16,3,7,7,15,3,12,15,10,10,3,9,13,5,3,28,4,1,6,7,12,4,6,42,9,11,12,8,4,10,15,1,3,13,20,4,12,24,8,7,13,3,4,1,6,6,9,6,3,5,12,10,11,2,0,15,16,5,12,6,4,20,6,5,10,5,13,3,4,18,6,2,4,4,9,6,9,3,1,13,9,3,5,3,5,18,6,6,10,9,9,3,2,5,11,1,4,6,9,13,7,7,12,9,22,1,10,19,2,0,14,14,19,8,5,5,9,5,12,2,7,4,7,10,11,14,11,8,13,6,7,6,9,6,7,6,3,6,13,6,23,6,14,9,6,3,6,7,9,3,13,8,21,6,8,2,8,5,9,15,13,11,0,4,6,12,3,9,3,9,6,9,3,10,6,1,4,9,12,2,1,3,9,3,5,3,2,6
13,28,10,7,12,5,31,7,17,8,13,12,9,9,4,0,10,13,8,19,5,8,9,9,17,8,26,49,7,4,8,32,5,11,20,13,15,18,20,34,2,12,13,15,13,27,11,11,7,5,10,8,27,13,25,15,1,19,12,3,4,20,36,13,17,37,9,13,16,3,19,12,6,36,6,5,8,11,18,19,0,6,9,5,23,7,16,5,20,11,16,3,11,18,7,6,7,27,26,22,25,6,1,57,24,8,5,6,4,6,21,27,8,20,8,3,16,20,2,9,1,4,8,16,16,4,4,32,6,14,3,4,55,5,2,8,1,21,6,5,26,2,20,4,7,18,12,4,5,12,11,9,6,20,5,15,20,10,17,26,31,8,18,11,12,8,2,21,6,9,29,12,18,26,61,28,12,9,10,17,22,4,17,9,5,18,18,4,60,1,22,41,15,5,3,26,14,5,13,9,5,2,17,4,7,4,20,9,12,17,9,12,17,10,6,17,5,12,15,45,40,0,10,15,6,16,24,14,15,7,9,4,4,19,19,25,13,5,1,21,7,13,26,1,2,16,9,3,2,18,13,18,17,54,16,28,8,21,13,9,10,17,37,10,5,8,12,9,5,52,9,13,19,8,15,15,2,2,9,1,3,9,12,13,8,6,16,5,31,12,48,18,6,29,30,12,9,11,15,4,6,4,12,9,18,15,57,22,28,11,16,4,29,35,15,7,3,85,16,33,7,13,35,3,26,9,2,18,39,12,19,17,53,42,0,20,15,12,5,10,4,16,8,12,10,5,11,29,19,65,46,2,31,9,54,6,5,13,6,3,13,2,41,10,16,2,24,10,4,1,49,1,4,13,46,14,16,19,14,22,26,9,19,14,10,5,7,10,3,5,2,15,9,9,12,14,7,17,14,7,19,12,21,10,0,23,3,24,23,44,53,24,4,9,8,7,38,3,24,10,18,6,12,2,14,11,26,14,15,4,25,1,3,5,2,20,28,10,22,22,7,7,29,13,11,63,20,45,5,25,46,28,14,20,4,21,14,5,4,10,16,6,28,3,10,7,8,7,2,13,6,6,31,87,10,35,7,18,6,7,14,16,24,14,6,11,27,26,1,2,4,7,5,0,16,8,5,10,6,12
7,8,4,13,2,11,10,8,13,4,7,5,18,4,6,4,18,1,3,6,7,8,8,5,4,6,17,4,7,14,2,1,3,14,1,4,9,1,8,8,6,14,17,7,8,6,8,8,5,10,12,7,12,0,2,4,5,2,14,6,6,11,5,15,15,14,7,12,6,8,11,6,5,4,6,15,5,22,3,8,2,6,9,9,1,8,10,9,3,5,10,8,5,13,2,3,5,5,13,9,20,4,12,8,19,6,15,5,4,4,11,21,4,11,19,14,12,9,3,5,8,2,2,9,8,8,1,6,5,12,5,2,17,7,40,7,1,3,11,2,5,8,5,2,16,4,7,7,18,6,11,27,5,1,20,4,7,1,6,10,7,10,17,6,6,12,5,1,1,3,15,12,5,3,7,4,14,8,4,4,12,6,11,16,13,6,2,7,9,2,1,10,14,7,1,29,18,4,0,5,2,3,9,11,5,9,8,15,9,6,8,3,3,5,11,7,5,5,3,6,8,5,3,8,10,13,0,5,3,2,5,17,12,1,6,6,4,16,7,19,8,6,18,3,12,2,6,6,6,2,12,16,3,4,6,2,3,7,9,5,2,16,22,12,2,8,9,0,1,46,2,4,3,14,3,20,7,1,6,15,18,2,6,3,2,9,9,10,4,12,12,11,8,17,8,4,18,2,22,5,5,8,4,3,8,4,17,5,19,6,10,11,10,0,2,13,6,1,9,6,9,3,3,7,9,9,4,8,12,6,10,5,7,3,8,42,12,6,2,16,13,21,4,8,10,27,12,3,8,29,13,3,6,1,14,7,12,8,13,2,3,18,15,12,22,4,5,13,9,10,9,2,3,8,29,14,6,9,13,28,16,7,5,2,9,4,13,11,3,3,1,14,27,1,11,9,10,9,12,14,6,2,6,1,12,10,14,12,13,14,1,5,17,3,2,16,17,6,2,4,3,3,5,11,34,8,8,13,5,3,7,2,11,7,4,10,10,7,18,10,15,14,8,17,6,11,5,14,6,8,17,10,6,16,10,10,5,6,6,14,11,8,4,6,6,4,10,9,11,7,10,8,11,10,10,18,8,8,1,0,10,13,9,5,9,4,8,13,0,3,8,3,3,4,12,9,9,5,3,6
10,21,15,13,17,24,19,35,24,9,4,9,33,19,18,19,8,19,7,11,10,9,2,5,10,41,12,9,22,20,10,13,2,11,16,5,25,13,6,3,25,13,16,24,5,12,10,37,6,4,14,5,15,12,13,35,5,22,7,17,2,27,36,6,40,10,10,33,13,13,10,33,2,13,16,6,11,8,15,11,12,10,23,20,50,14,2,29,6,7,23,10,11,19,4,12,4,11,10,8,32,14,11,25,22,6,7,39,16,14,13,4,19,10,13,14,28,28,2,17,26,7,2,22,46,8,13,9,26,8,27,5,15,27,24,23,5,10,7,19,21,15,6,3,5,5,11,8,7,0,17,13,10,6,2,3,10,20,9,6,8,9,22,3,13,7,38,15,11,14,15,38,11,2,13,15,13,10,8,13,2,10,23,6,18,18,39,33,5,17,8,12,5,11,8,6,5,1,7,23,5,6,8,10,8,23,30,17,12,23,54,6,12,6,15,7,20,17,3,13,3,10,12,3,6,6,30,8,5,23,38,8,11,5,29,17,13,10,24,40,5,9,26,9,27,9,25,6,15,12,12,46,2,4,5,23,14,7,47,18,6,10,19,18,11,10,8,19,8,5,10,7,7,20,9,28,18,7,30,19,36,17,9,28,5,13,8,8,24,9,19,11,5,13,22,10,17,6,7,15,16,26,13,11,35,13,45,10,18,22,8,11,4,3,21,11,8,18,13,16,10,8,20,12,13,6,12,11,21,10,5,21,46,10,2,43,13,7,11,37,19,18,20,14,7,38,19,12,13,43,13,21,24,16,24,4,19,7,11,9,21,18,56,16,31,5,19,10,14,6,16,8,19,6,6,14,11,2,7,9,21,27,23,7,29,19,47,25,3,8,7,4,29,31,5,16,16,11,27,5,29,10,6,3,8,2,14,36,12,24,18,18,13,10,10,29,9,4,3,24,6,16,24,59,19,8,19,8,12,5,25,9,36,9,7,13,11,52,38,64,31,13,17,24,24,15,14,16,7,23,29,4,25,23,9,21,7,8,11,33,3,15,35,20,25,7,11,11,20,4,12,11,27,43,12,3,15,22,12,22,11,20,8,4,20,4,16,22,12,16,9,4,7,4,7,44,18,10,15,21
6,11,2,1,10,11,0,5,5,0,11,5,0,3,1,5,8,5,1,3,4,4,7,0,6,0,7,5,7,4,5,7,3,2,5,3,12,2,7,2,4,7,5,3,10,1,9,10,2,4,6,7,7,6,1,10,1,5,3,0,3,2,6,23,2,20,3,5,3,3,3,12,4,8,3,5,3,18,2,6,9,9,3,5,8,4,1,4,1,1,4,4,4,14,2,2,1,0,12,4,7,9,2,7,7,3,3,1,1,5,1,8,5,7,12,9,4,3,1,1,5,4,15,4,0,2,3,4,0,0,4,5,6,7,3,3,0,2,12,5,1,3,2,3,3,3,1,2,1,15,11,8,1,3,2,3,2,17,9,7,1,17,0,3,5,3,3,5,7,0,7,4,5,4,3,9,6,3,5,1,5,17,6,2,3,8,5,5,9,6,1,22,1,2,0,2,3,4,8,0,2,1,7,1,5,5,3,4,4,2,10,9,5,8,12,5,6,5,1,6,15,2,11,3,9,3,5,3,4,3,3,4,4,3,1,5,3,1,1,11,4,1,2,4,3,1,7,2,5,4,10,13,1,0,2,1,3,17,18,4,3,10,9,3,0,1,4,4,4,10,4,7,5,3,3,4,5,3,4,5,8,6,4,7,3,1,1,8,5,5,2,4,4,1,3,5,2,7,6,8,2,2,5,1,0,7,1,2,1,2,8,4,3,4,3,3,10,11,1,5,4,1,2,1,5,2,4,4,16,4,5,6,7,5,4,1,4,1,7,11,2,4,8,3,4,7,9,3,7,10,3,2,7,3,9,4,6,2,0,3,2,5,3,1,9,4,16,4,3,6,3,5,1,3,3,3,5,2,3,4,10,8,9,6,5,3,10,8,3,6,2,0,2,6,0,12,2,4,3,6,6,8,0,3,2,2,4,4,6,7,1,2,13,4,4,8,7,1,4,4,1,0,7,12,5,5,2,4,1,3,3,5,12,4,0,4,15,5,8,7,0,4,2,2,3,2,6,6,1,3,6,2,1,0,1,10,4,1,7,4,1,4,3,4,5,4,3,4,0,7,4,2,12,6,3,5,6,3,2,1,1,4,4,6,2,8,18,4,2,3,5,3,4,1,2,8,5,4,4,15
